timestamp,signal_x,signal_y,signal_z
0.0,1.039,-0.005,0.172
1.0,1.033,-0.010,0.168
2.0,1.044,-0.012,0.168
3.0,1.041,-0.008,0.174
4.0,1.029,-0.006,0.175
5.0,1.037,-0.007,0.173
6.0,1.043,-0.006,0.172
7.0,1.044,-0.009,0.177
8.0,1.046,-0.008,0.178
9.0,1.039,-0.004,0.176
10.0,1.037,-0.009,0.177
11.0,1.037,-0.008,0.176
12.0,1.043,-0.008,0.177
13.0,1.045,-0.009,0.174
14.0,1.036,-0.009,0.168
15.0,1.034,-0.013,0.174
16.0,1.038,-0.009,0.165
17.0,1.041,-0.012,0.164
18.0,1.034,-0.010,0.169
19.0,1.036,-0.010,0.173
20.0,1.044,-0.012,0.169
21.0,1.043,-0.013,0.177
22.0,1.042,-0.017,0.182
23.0,1.041,-0.017,0.183
24.0,1.043,-0.013,0.179
25.0,1.044,-0.013,0.180
26.0,1.029,-0.007,0.174
27.0,1.037,-0.005,0.175
28.0,1.040,-0.010,0.166
29.0,1.035,-0.016,0.163
30.0,1.031,-0.009,0.170
31.0,1.040,-0.009,0.164
32.0,1.046,-0.009,0.164
33.0,1.041,-0.010,0.170
34.0,1.029,-0.013,0.168
35.0,1.034,-0.013,0.168
36.0,1.044,-0.015,0.173
37.0,1.043,-0.010,0.178
38.0,1.038,-0.007,0.183
39.0,1.042,-0.012,0.186
40.0,1.047,-0.006,0.181
41.0,1.039,-0.010,0.179
42.0,1.039,-0.012,0.177
43.0,1.046,-0.012,0.168
44.0,1.045,-0.014,0.171
45.0,1.036,-0.015,0.174
46.0,1.031,-0.017,0.173
47.0,1.047,-0.012,0.164
48.0,1.051,-0.011,0.167
49.0,1.040,-0.011,0.170
50.0,1.046,-0.009,0.177
51.0,1.041,-0.008,0.173
52.0,1.039,-0.012,0.172
53.0,1.036,-0.013,0.179
54.0,1.046,-0.010,0.174
55.0,1.051,-0.014,0.168
56.0,1.039,-0.011,0.177
57.0,1.040,-0.018,0.177
58.0,1.051,-0.011,0.170
59.0,1.045,-0.009,0.167
60.0,1.035,-0.012,0.166
61.0,1.040,-0.009,0.172
62.0,1.046,-0.012,0.175
63.0,1.044,-0.012,0.175
64.0,1.039,-0.008,0.179
65.0,1.045,-0.011,0.177
66.0,1.040,-0.011,0.173
67.0,1.036,-0.012,0.178
68.0,1.032,-0.008,0.171
69.0,1.039,-0.010,0.174
70.0,1.043,-0.007,0.169
71.0,1.039,-0.010,0.172
72.0,1.039,-0.011,0.170
73.0,1.044,-0.013,0.167
74.0,1.037,-0.014,0.174
75.0,1.037,-0.013,0.174
76.0,1.044,-0.011,0.166
77.0,1.046,-0.013,0.174
78.0,1.040,-0.010,0.175
79.0,1.044,-0.011,0.170
80.0,1.039,-0.010,0.172
81.0,1.041,-0.010,0.175
82.0,1.040,-0.014,0.173
83.0,1.032,-0.010,0.183
84.0,1.043,-0.006,0.177
85.0,1.040,-0.013,0.170
86.0,1.033,-0.013,0.172
87.0,1.041,-0.013,0.169
88.0,1.045,-0.011,0.167
89.0,1.038,-0.016,0.178
90.0,1.034,-0.015,0.174
91.0,1.042,-0.007,0.170
92.0,1.050,-0.009,0.162
93.0,1.041,-0.007,0.165
94.0,1.041,-0.017,0.177
95.0,1.049,-0.015,0.178
96.0,1.049,-0.008,0.177
97.0,1.037,-0.009,0.185
98.0,1.036,-0.009,0.195
99.0,1.042,-0.005,0.183
100.0,1.046,-0.009,0.182
101.0,1.036,-0.010,0.184
102.0,1.031,-0.007,0.179
103.0,1.041,-0.004,0.171
104.0,1.041,-0.005,0.163
105.0,1.032,-0.009,0.162
106.0,1.036,-0.014,0.166
107.0,1.044,-0.017,0.169
108.0,1.039,-0.019,0.166
109.0,1.033,-0.011,0.173
110.0,1.040,-0.008,0.169
111.0,1.049,-0.005,0.172
112.0,1.040,-0.009,0.180
113.0,1.042,-0.013,0.176
114.0,1.046,-0.017,0.173
115.0,1.050,-0.013,0.170
116.0,1.039,-0.011,0.186
117.0,1.037,-0.007,0.181
118.0,1.049,-0.006,0.171
119.0,1.037,-0.009,0.168
120.0,1.032,-0.005,0.180
121.0,1.042,-0.003,0.175
122.0,1.041,-0.012,0.168
123.0,1.042,-0.010,0.166
124.0,1.041,-0.012,0.171
125.0,1.045,-0.010,0.171
126.0,1.045,-0.007,0.171
127.0,1.040,-0.014,0.178
128.0,1.036,-0.015,0.177
129.0,1.047,-0.010,0.173
130.0,1.047,-0.012,0.168
131.0,1.034,-0.013,0.173
132.0,1.033,-0.010,0.168
133.0,1.040,-0.008,0.167
134.0,1.042,-0.010,0.175
135.0,1.031,-0.016,0.182
136.0,1.031,-0.017,0.172
137.0,1.043,-0.014,0.170
138.0,1.039,-0.008,0.172
139.0,1.035,-0.006,0.176
140.0,1.050,-0.009,0.186
141.0,1.052,-0.012,0.175
142.0,1.036,-0.010,0.172
143.0,1.040,-0.011,0.175
144.0,1.046,-0.010,0.174
145.0,1.042,-0.008,0.174
146.0,1.042,-0.006,0.171
147.0,1.038,-0.011,0.170
148.0,1.040,-0.002,0.169
149.0,1.044,-0.007,0.172
150.0,1.037,-0.016,0.165
151.0,1.037,-0.012,0.165
152.0,1.045,-0.014,0.160
153.0,1.039,-0.013,0.176
154.0,1.045,-0.015,0.174
155.0,1.040,-0.009,0.173
156.0,1.042,-0.009,0.168
157.0,1.045,-0.010,0.181
158.0,1.033,-0.005,0.189
159.0,1.042,-0.012,0.172
160.0,1.047,-0.013,0.177
161.0,1.036,-0.016,0.166
162.0,1.035,-0.014,0.169
163.0,1.044,-0.006,0.176
164.0,1.045,-0.015,0.171
165.0,1.037,-0.014,0.171
166.0,1.040,-0.012,0.165
167.0,1.047,-0.010,0.170
168.0,1.043,-0.012,0.177
169.0,1.039,-0.014,0.176
170.0,1.042,-0.015,0.169
171.0,1.048,-0.012,0.176
172.0,1.046,-0.012,0.179
173.0,1.041,-0.012,0.178
174.0,1.047,-0.008,0.174
175.0,1.046,-0.010,0.174
176.0,1.040,-0.011,0.177
177.0,1.040,-0.008,0.176
178.0,1.039,-0.009,0.172
179.0,1.036,-0.014,0.170
180.0,1.033,-0.010,0.173
181.0,1.042,-0.017,0.167
182.0,1.048,-0.013,0.176
183.0,1.037,-0.012,0.183
184.0,1.038,-0.014,0.181
185.0,1.050,-0.007,0.178
186.0,1.045,-0.012,0.179
187.0,1.037,-0.014,0.184
188.0,1.039,-0.011,0.180
189.0,1.048,-0.010,0.177
190.0,1.047,-0.010,0.171
191.0,1.047,-0.009,0.170
192.0,1.043,-0.011,0.175
193.0,1.036,-0.006,0.173
194.0,1.031,-0.009,0.172
195.0,1.034,-0.014,0.177
196.0,1.041,-0.007,0.185
197.0,1.046,-0.008,0.177
198.0,1.033,-0.017,0.169
199.0,1.036,-0.016,0.174
200.0,1.037,-0.013,0.178
201.0,1.046,-0.015,0.177
202.0,1.047,-0.012,0.179
203.0,1.041,-0.012,0.180
204.0,1.040,-0.010,0.174
205.0,1.047,-0.007,0.172
206.0,1.043,-0.006,0.168
207.0,1.042,-0.005,0.178
208.0,1.040,-0.003,0.176
209.0,1.040,-0.009,0.171
210.0,1.039,-0.014,0.169
211.0,1.041,-0.014,0.167
212.0,1.040,-0.015,0.170
213.0,1.034,-0.011,0.177
214.0,1.035,-0.013,0.177
215.0,1.043,-0.012,0.182
216.0,1.042,-0.008,0.173
217.0,1.042,-0.011,0.177
218.0,1.044,-0.007,0.172
219.0,1.046,-0.010,0.169
220.0,1.036,-0.015,0.173
221.0,1.026,-0.010,0.177
222.0,1.043,-0.007,0.175
223.0,1.051,-0.009,0.167
224.0,1.035,-0.010,0.168
225.0,1.030,-0.012,0.167
226.0,1.038,-0.011,0.162
227.0,1.045,-0.008,0.164
228.0,1.041,-0.011,0.177
229.0,1.038,-0.011,0.170
230.0,1.049,-0.007,0.170
231.0,1.048,-0.013,0.170
232.0,1.039,-0.014,0.176
233.0,1.043,-0.009,0.184
234.0,1.050,-0.012,0.185
235.0,1.043,-0.012,0.186
236.0,1.035,-0.005,0.173
237.0,1.039,-0.011,0.166
238.0,1.044,-0.012,0.168
239.0,1.043,-0.012,0.172
240.0,1.035,-0.012,0.171
241.0,1.040,-0.015,0.171
242.0,1.044,-0.013,0.172
243.0,1.036,-0.017,0.174
244.0,1.035,-0.011,0.182
245.0,1.040,-0.016,0.165
246.0,1.042,-0.016,0.167
247.0,1.033,-0.011,0.185
248.0,1.041,-0.008,0.179
249.0,1.043,-0.008,0.180
250.0,1.045,-0.003,0.177
251.0,1.035,-0.007,0.178
252.0,1.041,-0.007,0.172
253.0,1.045,-0.004,0.161
254.0,1.038,-0.010,0.165
255.0,1.033,-0.010,0.170
256.0,1.042,-0.011,0.171
257.0,1.048,-0.014,0.181
258.0,1.039,-0.010,0.183
259.0,1.035,-0.008,0.185
260.0,1.040,-0.013,0.174
261.0,1.045,-0.013,0.168
262.0,1.042,-0.012,0.177
263.0,1.037,-0.010,0.177
264.0,1.045,-0.008,0.171
265.0,1.045,-0.015,0.170
266.0,1.041,-0.013,0.178
267.0,1.041,-0.012,0.177
268.0,1.039,-0.007,0.166
269.0,1.039,-0.012,0.166
270.0,1.034,-0.009,0.167
271.0,1.039,-0.007,0.172
272.0,1.046,-0.008,0.169
273.0,1.042,-0.014,0.164
274.0,1.033,-0.015,0.169
275.0,1.046,-0.010,0.183
276.0,1.050,-0.012,0.173
277.0,1.046,-0.014,0.182
278.0,1.044,-0.016,0.185
279.0,1.040,-0.014,0.176
280.0,1.044,-0.005,0.170
281.0,1.042,-0.007,0.171
282.0,1.039,-0.015,0.170
283.0,1.044,-0.011,0.161
284.0,1.048,-0.013,0.166
285.0,1.036,-0.010,0.168
286.0,1.036,-0.014,0.171
287.0,1.038,-0.014,0.164
288.0,1.037,-0.012,0.171
289.0,1.046,-0.010,0.173
290.0,1.043,-0.010,0.179
291.0,1.041,-0.014,0.177
292.0,1.040,-0.010,0.178
293.0,1.035,-0.012,0.178
294.0,1.040,-0.010,0.175
295.0,1.047,-0.006,0.164
296.0,1.038,-0.009,0.178
297.0,1.043,-0.011,0.175
298.0,1.043,-0.010,0.156
299.0,1.041,-0.017,0.164
300.0,1.042,-0.016,0.167
301.0,1.038,-0.007,0.172
302.0,1.042,-0.009,0.160
303.0,1.045,-0.007,0.162
304.0,1.036,-0.010,0.172
305.0,1.031,-0.009,0.169
306.0,1.047,-0.010,0.160
307.0,1.044,-0.009,0.171
308.0,1.037,-0.005,0.177
309.0,1.043,-0.006,0.174
310.0,1.047,-0.004,0.183
311.0,1.041,-0.010,0.184
312.0,1.042,-0.009,0.171
313.0,1.049,-0.010,0.168
314.0,1.048,-0.010,0.179
315.0,1.034,-0.014,0.173
316.0,1.038,-0.017,0.175
317.0,1.048,-0.014,0.179
318.0,1.042,-0.011,0.178
319.0,1.044,-0.012,0.181
320.0,1.045,-0.015,0.174
321.0,1.039,-0.009,0.172
322.0,1.035,-0.012,0.167
323.0,1.036,-0.012,0.170
324.0,1.035,-0.014,0.152
325.0,1.033,-0.012,0.170
326.0,1.035,-0.011,0.170
327.0,1.043,-0.011,0.168
328.0,1.045,-0.007,0.165
329.0,1.039,-0.008,0.171
330.0,1.033,-0.017,0.171
331.0,1.041,-0.011,0.174
332.0,1.047,-0.013,0.176
333.0,1.035,-0.015,0.176
334.0,1.035,-0.013,0.181
335.0,1.038,-0.012,0.173
336.0,1.042,-0.010,0.173
337.0,1.039,-0.004,0.172
338.0,1.032,-0.011,0.167
339.0,1.036,-0.007,0.169
340.0,1.039,-0.008,0.175
341.0,1.041,-0.008,0.178
342.0,1.039,-0.008,0.177
343.0,1.038,-0.006,0.167
344.0,1.037,-0.014,0.162
345.0,1.042,-0.014,0.167
346.0,1.038,-0.013,0.161
347.0,1.041,-0.016,0.164
348.0,1.039,-0.012,0.170
349.0,1.040,-0.014,0.172
350.0,1.040,-0.011,0.173
351.0,1.042,-0.013,0.179
352.0,1.043,-0.014,0.189
353.0,1.035,-0.020,0.185
354.0,1.042,-0.017,0.180
355.0,1.044,-0.013,0.167
356.0,1.037,-0.011,0.172
357.0,1.039,-0.008,0.163
358.0,1.040,-0.012,0.160
359.0,1.036,-0.014,0.163
360.0,1.036,-0.012,0.167
361.0,1.041,-0.014,0.156
362.0,1.045,-0.008,0.164
363.0,1.041,-0.010,0.173
364.0,1.034,-0.011,0.167
365.0,1.045,-0.011,0.168
366.0,1.048,-0.014,0.171
367.0,1.036,-0.016,0.184
368.0,1.040,-0.013,0.184
369.0,1.044,-0.010,0.178
370.0,1.046,-0.011,0.164
371.0,1.044,-0.009,0.165
372.0,1.037,-0.013,0.171
373.0,1.037,-0.009,0.161
374.0,1.039,-0.012,0.161
375.0,1.024,-0.017,0.177
376.0,1.034,-0.013,0.172
377.0,1.044,-0.011,0.167
378.0,1.041,-0.010,0.173
379.0,1.043,-0.014,0.178
380.0,1.040,-0.018,0.170
381.0,1.040,-0.016,0.170
382.0,1.042,-0.012,0.173
383.0,1.036,-0.013,0.175
384.0,1.048,-0.016,0.171
385.0,1.040,-0.014,0.161
386.0,1.035,-0.011,0.177
387.0,1.045,-0.013,0.186
388.0,1.046,-0.009,0.182
389.0,1.041,-0.012,0.176
390.0,1.038,-0.005,0.176
391.0,1.040,-0.008,0.174
392.0,1.042,-0.013,0.175
393.0,1.037,-0.009,0.166
394.0,1.034,-0.009,0.170
395.0,1.038,-0.014,0.167
396.0,1.039,-0.011,0.175
397.0,1.041,-0.011,0.181
398.0,1.037,-0.008,0.179
399.0,1.041,-0.007,0.174
400.0,1.041,-0.012,0.177
401.0,1.037,-0.012,0.181
402.0,1.040,-0.008,0.181
403.0,1.050,-0.014,0.167
404.0,1.044,-0.013,0.172
405.0,1.042,-0.007,0.171
406.0,1.040,-0.012,0.170
407.0,1.042,-0.009,0.165
408.0,1.048,-0.004,0.168
409.0,1.042,-0.010,0.179
410.0,1.044,-0.006,0.183
411.0,1.041,-0.008,0.182
412.0,1.040,-0.006,0.177
413.0,1.043,-0.010,0.183
414.0,1.040,-0.010,0.184
415.0,1.039,-0.016,0.180
416.0,1.033,-0.014,0.174
417.0,1.034,-0.014,0.171
418.0,1.039,-0.010,0.167
419.0,1.038,-0.011,0.166
420.0,1.030,-0.012,0.164
421.0,1.040,-0.009,0.170
422.0,1.048,-0.010,0.166
423.0,1.038,-0.015,0.173
424.0,1.027,-0.013,0.179
425.0,1.034,-0.012,0.179
426.0,1.045,-0.017,0.181
427.0,1.044,-0.011,0.177
428.0,1.034,-0.019,0.190
429.0,1.048,-0.010,0.180
430.0,1.059,-0.005,0.173
431.0,1.040,-0.010,0.178
432.0,1.028,-0.010,0.186
433.0,1.040,-0.007,0.178
434.0,1.041,-0.021,0.155
435.0,1.028,-0.014,0.161
436.0,1.034,-0.012,0.168
437.0,1.048,-0.012,0.154
438.0,1.042,-0.015,0.164
439.0,1.032,-0.014,0.183
440.0,1.044,-0.014,0.169
441.0,1.051,-0.011,0.166
442.0,1.034,-0.010,0.174
443.0,1.029,-0.008,0.184
444.0,1.051,-0.008,0.177
445.0,1.048,-0.010,0.177
446.0,1.032,-0.008,0.184
447.0,1.036,-0.008,0.178
448.0,1.044,-0.008,0.172
449.0,1.038,-0.010,0.175
450.0,1.035,-0.013,0.182
451.0,1.048,-0.012,0.175
452.0,1.052,-0.008,0.170
453.0,1.035,-0.009,0.175
454.0,1.034,-0.011,0.172
455.0,1.042,-0.007,0.172
456.0,1.040,-0.011,0.168
457.0,1.034,-0.010,0.175
458.0,1.036,-0.005,0.171
459.0,1.041,-0.005,0.175
460.0,1.036,-0.005,0.170
461.0,1.037,-0.006,0.164
462.0,1.042,-0.016,0.163
463.0,1.047,-0.008,0.164
464.0,1.041,-0.012,0.173
465.0,1.041,-0.012,0.178
466.0,1.045,-0.007,0.173
467.0,1.042,-0.013,0.170
468.0,1.039,-0.010,0.179
469.0,1.041,-0.010,0.172
470.0,1.048,-0.015,0.168
471.0,1.041,-0.009,0.172
472.0,1.039,-0.009,0.180
473.0,1.039,-0.014,0.173
474.0,1.047,-0.012,0.178
475.0,1.046,-0.008,0.175
476.0,1.042,-0.009,0.178
477.0,1.038,-0.012,0.185
478.0,1.045,-0.010,0.167
479.0,1.041,-0.014,0.178
480.0,1.038,-0.010,0.167
481.0,1.043,-0.013,0.161
482.0,1.047,-0.012,0.163
483.0,1.043,-0.011,0.161
484.0,1.039,-0.014,0.166
485.0,1.039,-0.010,0.172
486.0,1.047,-0.007,0.173
487.0,1.043,-0.011,0.186
488.0,1.045,-0.007,0.186
489.0,1.048,-0.006,0.181
490.0,1.045,-0.013,0.183
491.0,1.033,-0.014,0.175
492.0,1.040,-0.013,0.167
493.0,1.040,-0.011,0.151
494.0,1.045,-0.007,0.164
495.0,1.033,-0.012,0.177
496.0,1.030,-0.015,0.167
497.0,1.040,-0.010,0.159
498.0,1.037,-0.002,0.172
499.0,1.037,-0.011,0.177
500.0,1.040,-0.011,0.181
